rotation_angle_deg,delta_alpha_deg,beta_deg
-4.007000,0.241286,-0.241354
-3.904000,0.237183,-0.237254
-3.802000,0.233079,-0.233155
-3.699000,0.228976,-0.229056
-3.596000,0.224872,-0.224957
-3.494000,0.220769,-0.220858
-3.391000,0.216665,-0.216759
-3.289000,0.212562,-0.212660
-3.186000,0.208458,-0.208561
-3.083000,0.204355,-0.204461
-2.981000,0.200252,-0.200362
-2.878000,0.196148,-0.196264
-2.775000,0.192045,-0.192165
-2.673000,0.187942,-0.188066
-2.570000,0.183839,-0.183967
-2.467000,0.179736,-0.179868
-2.365000,0.175633,-0.175769
-2.262000,0.171529,-0.171670
-2.160000,0.167426,-0.167571
-2.057000,0.163323,-0.163472
-1.954000,0.159220,-0.159373
-1.852000,0.155117,-0.155274
-1.749000,0.151014,-0.151175
-1.646000,0.146911,-0.147076
-1.544000,0.142807,-0.142978
-1.441000,0.138704,-0.138879
-1.339000,0.134601,-0.134780
-1.236000,0.130498,-0.130681
-1.133000,0.126395,-0.126582
-1.031000,0.122292,-0.122483
-0.928000,0.118188,-0.118384
-0.825000,0.114085,-0.114285
-0.723000,0.109982,-0.110186
-0.620000,0.105879,-0.106087
-0.517000,0.101776,-0.101988
-0.415000,0.097673,-0.097890
-0.312000,0.093570,-0.093791
-0.210000,0.089468,-0.089692
-0.107000,0.085365,-0.085594
-0.004000,0.081262,-0.081495
0.098000,0.077160,-0.077396
0.201000,0.073057,-0.073298
0.304000,0.068954,-0.069199
0.406000,0.064851,-0.065100
0.509000,0.060749,-0.061002
0.612000,0.056646,-0.056903
0.714000,0.052543,-0.052804
0.817000,0.048441,-0.048706
0.919000,0.044338,-0.044607
1.022000,0.040235,-0.040508
1.125000,0.036132,-0.036410
1.227000,0.032030,-0.032311
1.330000,0.027927,-0.028212
1.433000,0.023824,-0.024114
1.535000,0.019722,-0.020015
1.638000,0.015619,-0.015917
1.740000,0.011516,-0.011818
1.843000,0.007414,-0.007719
1.946000,0.003311,-0.003621
2.048000,-0.000792,0.000478
2.151000,-0.004894,0.004576
2.254000,-0.008996,0.008675
2.356000,-0.013098,0.012773
2.459000,-0.017201,0.016871
2.562000,-0.021303,0.020970
2.664000,-0.025405,0.025068
2.767000,-0.029507,0.029167
2.869000,-0.033609,0.033265
2.972000,-0.037712,0.037363
3.075000,-0.041814,0.041462
3.177000,-0.045916,0.045560
3.280000,-0.050018,0.049658
3.383000,-0.054120,0.053757
3.485000,-0.058223,0.057855
3.588000,-0.062325,0.061953
3.690000,-0.066427,0.066052
3.793000,-0.070529,0.070150
3.896000,-0.074631,0.074248
3.998000,-0.078733,0.078347
4.101000,-0.082836,0.082445
4.204000,-0.086938,0.086543
4.306000,-0.091040,0.090642
4.409000,-0.095142,0.094740
4.512000,-0.099244,0.098838
4.614000,-0.103347,0.102937
4.717000,-0.107448,0.107035
4.819000,-0.111550,0.111133
4.922000,-0.115651,0.115231
5.025000,-0.119753,0.119329
5.127000,-0.123855,0.123427
5.230000,-0.127956,0.127525
5.333000,-0.132058,0.131623
5.435000,-0.136159,0.135721
5.538000,-0.140261,0.139819
5.641000,-0.144363,0.143916
5.743000,-0.148464,0.148014
5.846000,-0.152566,0.152112
5.948000,-0.156667,0.156210
6.051000,-0.160769,0.160308
6.154000,-0.164871,0.164406
6.256000,-0.168972,0.168504
6.359000,-0.173074,0.172602
6.462000,-0.177175,0.176700
6.564000,-0.181277,0.180798
6.667000,-0.185379,0.184896
6.769000,-0.189480,0.188994
6.872000,-0.193582,0.193092
6.975000,-0.197683,0.197190
7.077000,-0.201785,0.201288
7.180000,-0.205887,0.205386
7.283000,-0.209987,0.209484
7.385000,-0.214088,0.213581
7.488000,-0.218189,0.217679
7.591000,-0.222290,0.221777
7.693000,-0.226391,0.225874
7.796000,-0.230492,0.229972
7.898000,-0.234593,0.234069
8.001000,-0.238694,0.238167
8.104000,-0.242795,0.242265
8.206000,-0.246896,0.246362
8.309000,-0.250997,0.250460
8.412000,-0.255098,0.254557
8.514000,-0.259199,0.258655
8.617000,-0.263300,0.262752
8.720000,-0.267401,0.266850
8.822000,-0.271501,0.270948
8.925000,-0.275602,0.275045
9.027000,-0.279703,0.279143
9.130000,-0.283804,0.283240
9.233000,-0.287905,0.287338
9.335000,-0.292006,0.291436
9.438000,-0.296107,0.295533
9.541000,-0.300208,0.299631
9.643000,-0.304309,0.303728
9.746000,-0.308410,0.307826
9.848000,-0.312510,0.311923
9.951000,-0.316610,0.316020
10.054000,-0.320711,0.320117
10.156000,-0.324811,0.324215
10.259000,-0.328911,0.328312
10.362000,-0.333011,0.332409
10.464000,-0.337111,0.336506
10.567000,-0.341212,0.340603
10.670000,-0.345312,0.344700
10.772000,-0.349412,0.348797
10.875000,-0.353512,0.352895
10.977000,-0.357613,0.356992
11.080000,-0.361713,0.361089
11.183000,-0.365813,0.365186
11.285000,-0.369913,0.369283
11.388000,-0.374013,0.373380
11.491000,-0.378114,0.377478
11.593000,-0.382214,0.381575
11.696000,-0.386314,0.385672
11.799000,-0.390414,0.389769
11.901000,-0.394514,0.393866
12.004000,-0.398615,0.397963
12.106000,-0.402715,0.402060
12.209000,-0.406815,0.406158
12.312000,-0.410915,0.410255
12.414000,-0.415015,0.414351
12.517000,-0.419114,0.418448
12.620000,-0.423214,0.422545
12.722000,-0.427313,0.426642
12.825000,-0.431413,0.430738
12.927000,-0.435512,0.434835
13.030000,-0.439611,0.438932
13.133000,-0.443711,0.443028
13.235000,-0.447810,0.447125
13.338000,-0.451910,0.451222
13.441000,-0.456009,0.455318
13.543000,-0.460109,0.459415
13.646000,-0.464208,0.463512
13.749000,-0.468308,0.467608
13.851000,-0.472407,0.471705
13.954000,-0.476506,0.475802
14.056000,-0.480606,0.479899
14.159000,-0.484705,0.483995
14.262000,-0.488805,0.488092
14.364000,-0.492904,0.492189
14.467000,-0.497004,0.496285
14.570000,-0.501103,0.500382
14.672000,-0.505203,0.504479
