zone_id,alpha_nom_deg,beta_nom_deg,delta_alpha_deg,delta_beta_deg,n_reflections,info
151,-54.4,0.0,54.66427279549034,54.374158190791874,132,"{'status': 'ok', 'success': True, 'cost': 0.09977540940206343, 'nfev': 6}"
152,-54.297,0.0,54.586694326966445,54.1941228793614,130,"{'status': 'ok', 'success': True, 'cost': 0.09860476187134629, 'nfev': 6}"
153,-54.195,0.0,54.466484478819346,54.148272564606145,128,"{'status': 'ok', 'success': True, 'cost': 0.09864710045337702, 'nfev': 6}"
154,-54.092,0.0,54.241616798229416,54.10338012417825,129,"{'status': 'ok', 'success': True, 'cost': 0.0983440436387498, 'nfev': 6}"
155,-53.989,0.0,54.16808520346387,53.90405019170005,126,"{'status': 'ok', 'success': True, 'cost': 0.09771848721336553, 'nfev': 6}"
156,-53.887,0.0,54.10737602605727,53.78205477093482,125,"{'status': 'ok', 'success': True, 'cost': 0.0983273355584618, 'nfev': 6}"
157,-53.784000000000006,0.0,53.97597565072901,53.68247649658445,129,"{'status': 'ok', 'success': True, 'cost': 0.10364991421371389, 'nfev': 6}"
158,-53.681,0.0,53.9017116330279,53.70512972884069,124,"{'status': 'ok', 'success': True, 'cost': 0.09958961933385131, 'nfev': 6}"
159,-53.579,0.0,53.72135520945247,53.49286307932231,131,"{'status': 'ok', 'success': True, 'cost': 0.10727399493026638, 'nfev': 6}"
160,-53.476,0.0,53.677630839570426,53.52150569334431,131,"{'status': 'ok', 'success': True, 'cost': 0.10665557455402672, 'nfev': 6}"
161,-53.373,0.0,53.46229143919281,53.414073518877856,137,"{'status': 'ok', 'success': True, 'cost': 0.113592965299538, 'nfev': 6}"
162,-53.27100000000001,0.0,53.411945889768894,53.25812525473715,140,"{'status': 'ok', 'success': True, 'cost': 0.11501906910016178, 'nfev': 6}"
163,-53.168,0.0,53.47029054638498,53.13560970831525,138,"{'status': 'ok', 'success': True, 'cost': 0.11129684781023068, 'nfev': 6}"
164,-53.066,0.0,53.18389370312797,52.876052301325146,131,"{'status': 'ok', 'success': True, 'cost': 0.10257675824777712, 'nfev': 6}"
165,-52.963,0.0,53.04419460343552,52.874737530175636,132,"{'status': 'ok', 'success': True, 'cost': 0.10307246557831688, 'nfev': 6}"
166,-52.86,0.0,52.93066908380939,52.675721277467865,130,"{'status': 'ok', 'success': True, 'cost': 0.09792752476761535, 'nfev': 6}"
167,-52.758,0.0,52.83454031523174,52.72525519283068,132,"{'status': 'ok', 'success': True, 'cost': 0.0981124074444757, 'nfev': 6}"
168,-52.655,0.0,52.777824644334316,52.57982015174577,128,"{'status': 'ok', 'success': True, 'cost': 0.0932910356997798, 'nfev': 6}"
169,-52.552,0.0,52.57712016920959,52.43491944389558,133,"{'status': 'ok', 'success': True, 'cost': 0.09952278957647141, 'nfev': 6}"
170,-52.45,0.0,52.522850551585364,52.39847440114687,132,"{'status': 'ok', 'success': True, 'cost': 0.09819948959965519, 'nfev': 6}"
171,-52.347,0.0,52.36248864269232,52.27060181635988,136,"{'status': 'ok', 'success': True, 'cost': 0.10298070077751671, 'nfev': 6}"
172,-52.24400000000001,0.0,52.29020886865221,52.19946843462077,140,"{'status': 'ok', 'success': True, 'cost': 0.10339482794721241, 'nfev': 6}"
173,-52.142,0.0,52.177560996069644,52.1581198447715,141,"{'status': 'ok', 'success': True, 'cost': 0.10597615827348865, 'nfev': 6}"
174,-52.039,0.0,52.10709013775143,52.09414461488909,136,"{'status': 'ok', 'success': True, 'cost': 0.10269549207383755, 'nfev': 6}"
175,-51.937,0.0,51.984468278012585,52.01906955459016,134,"{'status': 'ok', 'success': True, 'cost': 0.10308048246523595, 'nfev': 6}"
176,-51.834,0.0,51.908751163965185,51.93455225042363,134,"{'status': 'ok', 'success': True, 'cost': 0.10230318287455249, 'nfev': 6}"
177,-51.731,0.0,51.761538561714616,51.87596414463939,132,"{'status': 'ok', 'success': True, 'cost': 0.09982429532549039, 'nfev': 6}"
178,-51.629,0.0,51.66718004730553,51.79431553274639,132,"{'status': 'ok', 'success': True, 'cost': 0.09928955032803896, 'nfev': 6}"
179,-51.526,0.0,51.50472902877269,51.70139102867484,131,"{'status': 'ok', 'success': True, 'cost': 0.09917565515544545, 'nfev': 6}"
180,-51.423,0.0,51.50060889643497,51.68198185374239,134,"{'status': 'ok', 'success': True, 'cost': 0.10025271101498665, 'nfev': 6}"
181,-51.321,0.0,51.49891057615888,51.47819831843383,133,"{'status': 'ok', 'success': True, 'cost': 0.09832218733324419, 'nfev': 6}"
182,-51.218,0.0,51.439713831377155,51.26411144224195,139,"{'status': 'ok', 'success': True, 'cost': 0.10368090825563228, 'nfev': 6}"
183,-51.116,0.0,51.30090353920446,51.18040549776536,139,"{'status': 'ok', 'success': True, 'cost': 0.10561915383495293, 'nfev': 6}"
184,-51.013,0.0,51.15728635151242,50.908545953694045,140,"{'status': 'ok', 'success': True, 'cost': 0.10851693408382199, 'nfev': 6}"
