alpha_center_deg,delta_alpha_deg,beta_deg,z0x,z0y,z0z,x0x,x0y,x0z,smin,n_rows
-64.7145,-64.7145,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-64.6115,-64.6115,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-64.509,-64.509,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-64.40650000000001,-64.40650000000001,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-64.30400000000002,-64.30400000000002,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-64.20150000000001,-64.20150000000001,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-64.0985,-64.0985,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-63.996,-63.996,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-63.8935,-63.8935,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-63.790499999999994,-63.790499999999994,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-63.688,-63.688,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-63.5855,-63.5855,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-63.482499999999995,-63.482499999999995,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-63.38,-63.38,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-63.277499999999996,-63.277499999999996,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-63.175000000000004,-63.175000000000004,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-63.072500000000005,-63.072500000000005,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-62.9695,-62.9695,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-62.867000000000004,-62.867000000000004,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-62.7645,-62.7645,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-62.6615,-62.6615,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-62.559000000000005,-62.559000000000005,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-62.45650000000001,-62.45650000000001,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-62.354000000000006,-62.354000000000006,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-62.2515,-62.2515,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-62.1485,-62.1485,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-62.04599999999999,-62.04599999999999,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-61.9435,-61.9435,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-61.8405,-61.8405,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-61.73800000000001,-61.73800000000001,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-61.6355,-61.6355,90.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,6
-61.5325,-61.5325,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
-61.42999999999999,-61.42999999999999,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
-61.3275,-61.3275,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
-61.22500000000001,-61.22500000000001,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
-61.1225,-61.1225,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
-61.0195,-61.0195,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
-60.916999999999994,-60.916999999999994,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
-60.8145,-60.8145,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
-60.711499999999994,-60.711499999999994,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
-60.609,-60.609,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
-60.5065,-60.5065,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
-60.40350000000001,-60.40350000000001,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
-60.301,-60.301,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
-60.198499999999996,-60.198499999999996,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
-60.096,-60.096,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
-59.993500000000004,-59.993500000000004,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
-59.89050000000001,-59.89050000000001,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6
-59.788000000000004,40.48018321510874,46.988555898600836,0.9901113428358874,-0.0,-0.1402837438469469,0.1402837438469469,-0.0,0.9901113428358874,0.0,6
-59.6855,-59.6855,89.9972193383859,0.0,1.604936980362469e-17,-2.230142702995919e-19,7.850462293418873e-17,-1.0,-7.850462293418873e-17,2.7705038681259142e-61,6
-59.582499999999996,1.9190952846928915,78.36664917624937,-0.42639090033786253,0.6445562901380272,-0.6346164108755543,0.0029969863607904237,0.7025938356790291,0.7115847947634791,-0.0,6
-59.480000000000004,60.016208496567955,12.586231370742974,0.4264014327111979,-0.6396021490668391,0.6396021490668388,-0.9045340337333019,-0.30151134457774814,0.301511344577746,0.0,6
